LocationId,LocationName,Address,Address2,TownCity,Country,Postcode,PhoneNumber,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,ProductCard,ContactDetail,Longitude,Latitude,isYextRestrict,RichText,PlantType,CompanyName,LocationImage,FileCard,AddPage,PublisherImages,State,Region,isLocationClosed
,"Betonárna Kolín - Cemex Czech Republic, s.r.o.",Veltrubská 1527,Středočeský kraj,Kolín-Kolín,Czech Republic,280 02, 606 635 977,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 11:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01908 766658
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172",15.20035673,50.04579056,TRUE,"Betonárna TEKA 1 m s hodinovým výkonem 40 m čerstvého betonu je vybavena zařízením pro ohřev záměsové vody pro zimní období a má celoroční automatický, počítačem řízený provoz. Betonárka se nachází v Kolíně a její služby jsou dostupné i v okolních městech jako jsou Velim, Veltruby, Cerhenice či například Pečky. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů, písku a štěrku. Kromě toho poskytujeme autodopravu mixem, pumpování a čerpání betonu. Cemex se zavazuje k udržitelné výstavbě pomocí produktů řady Vertua. Na našich stánkách si můžete spočítat objem betonu.",Concrete,-,,-,,-,-,Středočeský kraj,FALSE
,"Betonárna Dvůr Králové, Cemex Czech Republic, s.r.o.",Tyršova,Královéhradecký kraj,Dvůr Králové nad Labem 1,Czech Republic,544 01, 602 463 006,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00",Closed,Closed,-,"ContactName_1 : Aggregate Asphalt Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 155 9208",15.821504,50.4420775,TRUE,"Betonárna CE 55 s míchacím zařízením RTM 1506 a s hodinovým výkonem 37 m čerstvého betonu je situována v Dvůr Králové. Betonárna je vybavena zařízením pro ohřev záměsové vody a recyklačním zařízením pro zpracování zbytkového betonu. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů, písku a štěrku. Autodopravu mixem, pumpování a čerpání betonu. Betonárna Dvůr Králové je vybavena pro poloautomatický provoz po celý rok a dokáže dovézt čerstvý beton do okolních měst jako jsou Nemojov, Bílá Třemešná, Doubravice či třeba Vítězná. Produky řady Vertua podporují udržitelnou výstavbu.",Concrete,-,,-,,-,-,Královéhradecký kraj,FALSE
,"Štěrkovna Čeperka, Cemex Czech Republic, s.r.o.",Staré Ždánice 330,Pardubický kraj,Staré Ždánice,Czech Republic,533 45, 466 980 029,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 155 9265
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172",15.73179423,50.11593662,TRUE,"Štěrkovna Čeperka nabízí široký sortiment kameniva ve frakcích od 0/4 až do 32/63. Můžete si vybrat z prodeje kameniva, písku, drceného kameniva, lomového kamene, stěrkopísku a zahradního kameniva. Všechny tyto produkty lze použít pro nejrůznější stavební účely, jako je například zásyp drenáže, dětská hřiště, zahradní úpravy a další. <br><br>Frakce 0/4 Sport a 4/8 Sport, které jsou vhodné pro různá sportoviště, jako je plážový volejbal, fotbalová hřiště, golfová hřiště a další. Kromě toho můžeme nabídnout i dodávky systémem Big Bag.<br><br>Štěrkovna dováží kamenivo do Lázní Bohdaneč, Pardubic, Přelouče, Starého Ždánice a jeho okolí. Pokud hledáte kvalitní kamenivo, neváhejte se obrátit na naše obchodní zástupce.",Aggregates,-,,-,,-,-,Pardubický kraj,FALSE
,"Betonárna Hradec Králové - Plačice, Cemex Czech Republic, s.r.o.",Pardubická,Královéhradecký kraj,Hradec Králové,Czech Republic,500 04, 606 613 905,"openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 09:30",Closed,-,"ContactName_1 : Asphalt Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0121 271 0137",15.78830228,50.19316913,TRUE,"Betonárna PEMAT/RANGER v Hradci Králové - Plačicích je vybavena míchacím zařízením TEKA THZ 3000 s objemem mísícího jádra 2 m a hodinovým výkonem 50 m čerstvého betonu. Betonárna je vybavena zařízením pro ohřev záměsové vody a recyklačním zařízením pro zpracování zbytkového betonu. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů, písku a štěrku. Autodopravu mixem, pumpování a čerpání betonu zajišťujeme po celém okolí Hradce Králové, jako například Opatovice, Čeperka, či například Libčany. Využijte našich produktů řady Vertua pro udržitelnou výstavbu.",Concrete,-,,-,,-,-,Královéhradecký kraj,FALSE
,"Betonárna Pardubice - Semtín II, Cemex Czech Republic, s.r.o.",Rosice nad Labem 755,Pardubický kraj,Pardubice,Czech Republic,53351, 602 471 959,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00",Closed,Closed,-,"ContactName_1 : Aggregate Asphalt Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 155 2410
ContactName_2 : Tel,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01622 710431",15.73730878,50.05485442,TRUE,"Betonárna Zeman s typem Elba 1000 a hřídelovou technologií vám nabízí špičkovou kvalitu betonu s hodinovým výkonem 1 m3. Naše betonárna se nachází v Pardubicích a nabízíme širokou škálu produktů, jako jsou anhydritové lité potěry Anhylevel, Anhylevel Heat, Anhylevel Extranivel, Cementové lité potěry, CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Kromě toho nabízíme autodopravu mixem, pumpování a čerpání betonu. Naše produkty řady Vertua usilují o udržitelnou výstavbu. Naše betonárna dokáže dovézt čerstvý beton do okolních měst, jako jsou Hradec Králové, Chrudim, Břehy, Staré Hradiště, Srnojedy, Rybitví, Zdětín a další. Můžete si u nás spočítat objem betonu a poptat jeho cenu.",Concrete,-,,-,,-,-,Pardubický kraj,FALSE
,"Betonárna Děčín, Cemex Czech Republic, s.r.o.",Benešovská,Ústecký kraj,Děčín,Czech Republic,405 01, 602 464 202,"openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 18:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 155 6053
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 1811",14.23211638,50.77490592,TRUE,"Betonárna CE 50,1 m s hodinovým výkonem 40 m čerstvého betonu je vybavena zařízením pro ohřev záměsové vody pro zimní období. Automatický, počítačem řízený provoz je zajištěn celoročně. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů a písku či štěrku. Dále poskytujeme autodopravu mixem, pumpování (čerpání) betonu. Naše betonárna se nachází v Děčíně a do 20 km od ní se nachází například Libverda, Benešov nad Ploučnicí, Malšovice či Markvartice. Cemex usiluje o udržitelnou výstavbu pomocí produktů řady Vertua.",Concrete,-,,-,,-,-,Ústecký kraj,FALSE
,"Betonárna Valašské Meziříčí, Cemex Czech Republic, s.r.o.",Hranická,Zlínský kraj,Valašské Meziříčí 1,Czech Republic,757 01, 602 520 071,"openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 17:30","openTime_1 : 07:30, closeTime_1 : 12:30",Closed,-,"ContactName_1 : Shipping Office (North West),  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 155 9265
ContactName_2 : Concrete Sales,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 600 6464
ContactName_3 : Concrete Account Orders,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 9265
ContactName_4 : Screed Sales Only Order,  JobPosition_4 : -,  EmailAddress_4 : -,  PhoneNumber1_4 : 0345 155 9265",17.95517172,49.4884675,TRUE,"Betonárna Stetter H1.0 s hodinovým výkonem 50 m čerstvého betonu je vybavena moderní technologií a celoročně zajišťuje automatický, počítačem řízený provoz. Nachází se v Valašském Meziříčí a její služby jsou dostupné i v okolních městech jako jsou Lešná, Choryně, Kladeruby, Rožnov pod Radhoštěm, či Hustopeče. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Kromě toho poskytujeme autodopravu mixem, pumpování a čerpání betonu. Cemex se zavazuje k udržitelné výstavbě pomocí produktů řady Vertua. Spočítejte si u nás objem betonu a získejte cenovou nabídku!",Concrete,-,,-,,-,-,Zlínský kraj,FALSE
,"Betonárna Ústí nad Labem, Cemex Czech Republic, s.r.o.",Drážďanská 74,Ústecký kraj,Ústí nad Labem,Czech Republic,400 07, 602 614 209,"openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 09:30",Closed,-,"ContactName_1 : Tel,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 01732 884740",14.0717223,50.6644952,TRUE,"Betonárna CE 50 s hodinovým výkonem 40 m čerstvého betonu se nachází v Ústí nad Labem. Je vybavena zařízením pro ohřev záměsové vody a recyklačním zařízením pro zpracování zbytkového betonu. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů a vláknobetonů. Kromě toho prodáváme také písek a štěrk. Autodopravu mixem, pumpování (čerpání) betonu zajišťujeme po celém okolí, jako jsou Dobětice, Strekov, Nestěmice, Chuderov či například Povrly. Naše produkty řady Vertua podporují udržitelnost výstavby. Na stránkách si můžete spočítat objem betonu a získat nezávaznou cenovou nabídku.",Concrete,-,,-,,-,-,Ústecký kraj,FALSE
,"Betonárna Ohrazenice Cemex Czech Republic, s.r.o.",Ohrazenice 270,Liberecký kraj,Semily,Czech Republic,511 01, 602 464 270,"openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 14:30","openTime_1 : 06:00, closeTime_1 : 21:30",Closed,-,"ContactName_1 : Asphalt Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 07557 319996
ContactName_2 : Plant,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01908 647 878
ContactName_3 : Orders,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 155 0930",15.11756016,50.5979251,TRUE,"Betonárna CE 50,1 m s hodinovým výkonem 40 m čerstvého betonu se nachází v Semilech. Je vybavena zařízením pro ohřev záměsové vody a má celoroční automatický, počítačem řízený provoz. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů, písku a štěrku. Dále poskytujeme autodopravu mixem, pumpování a čerpání betonu. Naše betonárna je ideálním partnerem pro stavební projekty v okolí Horní Sytové, Záhoří, Víchové nad Jizerou, Svijanského Újezdu, Račiněvsi a dalších měst v okruhu do zhruba 20 km. Na našich stránkách si můžete spočítat objem betonu a získat cenovou nabídku.",Concrete,-,,-,,-,-,Liberecký kraj,FALSE
,"Betonárna Hradec Králové - Správčice, Cemex Czech Republic, s.r.o.",Jana Černého,Královéhradecký kraj,Hradec Králové,Czech Republic,503 02, 606 627 647,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01908 370259",15.8342464,50.2560269,TRUE,"Betonárna CE 55 s mísícím jádrem o objemu 1 m a hodinovým výkonem 37 m čerstvého betonu je vybavena zařízením pro ohřev záměsové vody a recyklačním zařízením pro zpracování zbytkového betonu. Automatický, počítačem řízený provoz je zajištěn celoročně. Betonárna se nachází v Předměřicích nad Labem a její služby jsou dostupné i v okolních městech jako jsou Všestary, Smiřice či Stěžery. Nabízíme špičkovou kvalitu produktů jako anhydritové lité potěry Anhylevel, cementové lité potěry CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Dále nabízíme autodopravu mixem, pumpování (čerpání) betonu. Cemex usiluje o udržitelnou výstavbu pomocí produktů řady Vertua.",Concrete,-,,-,,-,-,Královéhradecký kraj,FALSE
,"Betonárna Plzeň - Prior, Cemex Czech Republic, s.r.o.",Jateční 301,Plzeňský kraj,Plzeň,Czech Republic,301 62, 777 365 540,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 01274 299 556
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0345 155 6053
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 01788 462016",13.40451226,49.76809681,TRUE,"Betonárna CE 50,1 m s hodinovým výkonem 40 m čerstvého betonu se nachází v Plzni. Je vybavena zařízením pro ohřev záměsové vody a předehřev kameniva. Celoroční automatický, počítačem řízený provoz zajišťuje špičkovou kvalitu betonu. Betonárna je vybavena i recyklačním zařízením pro zpracování zbytkového betonu. Nabízíme špičkové kvality anhydritové lité potěry Anhylevel, Anhylevel Heat, Anhylevel Extranivel, Cementové lité potěry, jako CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony a písek či štěrk. Autodopravu mixem, pumpování a čerpání betonu. Dovezem beton i do okolí jako Třemošná, Chrást, Dýšina, Bolevec či Doubravka. Dbáme na udržitelnost s produkty řady Vertua.",Concrete,-,,-,,-,-,Plzeňský kraj,FALSE
,"Betonárna Sokolov, Cemex Czech Republic, s.r.o.",Dobrovského 530,Karlovarský kraj,Dolní Rychnov,Czech Republic,356 04, 724 024 492,"openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 11:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01179 37 1189
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172",12.64627,50.16668,TRUE,"Betonárna CE 50 s hodinovým výkonem 40 m čerstvého betonu se nachází v Dolním Rychnově. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů a vláknobetonů. Kromě toho prodáváme také písek a štěrk. Naše betonárna dokáže zajistit autodopravu mixem, pumpování a čerpání betonu. Udržitelnost výstavby je pro nás důležitá, proto nabízíme produkty řady Vertua. Naše betonárna dokáže dovézt čerstvý beton do okolních měst jako jsou Sokolov, Kynšperk, či CHKO Slavkovský les. Vyberte si z naší široké nabídky produktů a nechte si dovézt čerstvý beton přímo k Vám.",Concrete,-,,-,,-,-,Karlovarský kraj,FALSE
,"Štěrkovna Dobřín, Cemex Czech Republic, s.r.o.",Dobříň 191,Ústecký kraj,Dobříň,Czech Republic,413 01, 416 809 000,"openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 11:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01277 212 563
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172",14.31071708,50.44520053,TRUE,"Pískovna Dobříň nabízí širokou škálu kameniva pro stavební účely ve frakcích 0/2, 0/4, 4/8, 8/16, 11/22, 16/32, 0/63Z, 0/4 Sport (speciální písky do dětských hřišť a sportoviště, certifikovaný materiál s atestem), 4/8, 8/16, 16/32, 0/32, 32/63 (drcené lomové kamenivo) a velkoobjemové vaky systému Big Bag (v objemu 1,5t např.: kamenivo pro ploché střechy). <br>Pískovna Dobříň nabízí smluvní přepravce, kteří mohou dovézt kamenivo do Štětí, Lovosice, Krabčice, Radouň, Roudnice nad Labem a jejich okolí. Prodloužení výdejní doby je možné na základě povolení obchodního zástupce. Prodej písku frakce 0/2 a 0/4 je z důvodu kapacity skladu a ukončení těžby pozastaven.",Aggregates,-,,-,,-,-,Ústecký kraj,FALSE
,"Betonárna Beroun, Cemex Czech Republic, s.r.o.",Na Ratince 203,Středočeský kraj,Beroun,Czech Republic,266 01, 602 260 821,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00",Closed,Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01784 485 348
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172
ContactName_4 : Aggregate Asphalt Sales,  JobPosition_4 : -,  EmailAddress_4 : -,  PhoneNumber1_4 : 0345 155 2410
ContactName_5 : Tel,  JobPosition_5 : -,  EmailAddress_5 : -,  PhoneNumber1_5 : 01189 732487",14.07943244,49.95565215,TRUE,"Cemex je moderní betonárna s hodinovým výkonem 60 m čerstvého betonu. Betonárna je vybavena automatickým počítačem řízeným provozem a zařízením pro ohřev záměsové vody a předehřev kameniva. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony a recyklační zařízení pro zpracování zbytkového betonu. Kromě toho prodáváme také písek a štěrk. Naše betonárna v Berouně nabízí autodopravu mixem, pumpování a čerpání betonu. Naše betonárna dokáže dovézt čerstvý beton i do okolních měst jako jsou Hlásná Třebaň, Loděnice, Bubovice, Chyňava či třeba Nižbor.",Concrete,-,,-,,-,-,Středočeský kraj,FALSE
,"Betonárna Kunovice, Cemex Czech Republic, s.r.o.",Osvobození 1127,Zlínský kraj,Kunovice,Czech Republic,686 04, 606 748 201,"openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 17:00","openTime_1 : 07:30, closeTime_1 : 17:00","openTime_1 : 07:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Tel,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0845 155 9251
ContactName_2 : Architectural Masonary,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0845 155 9251
ContactName_3 : Concrete Block Paving,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0845 155 9251",17.46992475,49.02775235,TRUE,"Betonárna Stetter H1.0 s hodinovým výkonem 50 m čerstvého betonu se nachází v Kunovicích. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukční betony, samozhutnitelné betony Compacton, drátkobetony, vláknobetony, písek a štěrk. Kromě toho nabízíme autodopravu mixem, pumpování a čerpání betonu. Naše betonárna v Kunovicích je vybavena moderní technologií a poskytuje celoroční automatický, počítačem řízený provoz. Kromě Kunovic se naše betonárna dostane i do okolních měst jako jsou Uherské Hradiště, Luhačovice, Veselí nad Moravou, Uherský Brod či Spytihněv. Nabízíme špičkovou kvalitu produktů řady Vertua, které usilují o udržitelnou výstavbu.",Concrete,-,,-,,-,-,Zlínský kraj,FALSE
,"Štěrkovna Dolní Lutyně, Cemex Czech Republic, s.r.o.",Na Vrchách 1181,Moravskoslezský kraj,Dolní Lutyně,Czech Republic,735 53, 725 530 413,"openTime_1 : 06:00, closeTime_1 : 16:30","openTime_1 : 06:00, closeTime_1 : 16:30","openTime_1 : 06:00, closeTime_1 : 16:30","openTime_1 : 06:00, closeTime_1 : 16:30","openTime_1 : 06:00, closeTime_1 : 16:30",Closed,Closed,-,"ContactName_1 : Tel,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0845 155 9252
ContactName_2 : Concrete Block Paving,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 0845 155 9252",18.42396454,49.90896464,TRUE,"Štěrkovna Dolní Lutyně nabízí kamenivo, písek a drcené kamenivo. Nabízíme širokou škálu frakcí, včetně jemného a praného písku - frakce 0/1P, lomového kamene, stěrkopísku a zahradního kameniva. ES prohlášení o shodě o vhodnosti použití do betonu, nestmelených a stmelených směsí hydraulickými pojivy pro inženýrské stavby a pozemní komunikace a pro malty. Naše kamenivo je vhodné pro nejrůznější stavební účely, včetně zásypu drenáže, dětských hřišť, plážového volejbalu, fotbalových a golfových hřišť nebo do koňských jízdáren. Nabízíme také služby smluvního přepravce a naši obchodní zástupci jsou vždy připraveni pomoci s výběrem vhodného produktu. Kamenivo dovezem do měst jako Rychvald, Doubrava, Ostrava město a Dolní Lutyně a jejich okolí.",Aggregates,-,,-,,-,-,Moravskoslezský kraj,FALSE
,"Betonárna Liberec, Cemex Czech Republic, s.r.o.",Londýnská 460,Liberecký kraj,Liberec,Czech Republic,460 11, 602 663 414,"openTime_1 : 08:00, closeTime_1 : 17:00","openTime_1 : 08:00, closeTime_1 : 17:00","openTime_1 : 08:00, closeTime_1 : 17:00","openTime_1 : 08:00, closeTime_1 : 17:00","openTime_1 : 08:00, closeTime_1 : 17:00","openTime_1 : 08:00, closeTime_1 : 12:00",Closed,-,"ContactName_1 : Concrete Sales,  JobPosition_1 : -,  EmailAddress_1 : -,  PhoneNumber1_1 : 0345 600 6464
ContactName_2 : Concrete Account Orders,  JobPosition_2 : -,  EmailAddress_2 : -,  PhoneNumber1_2 : 01784 485 348
ContactName_3 : Mortar Screed Sales,  JobPosition_3 : -,  EmailAddress_3 : -,  PhoneNumber1_3 : 0345 147 9172",15.03219076,50.77819728,TRUE,"Betonárna TEKA 1,25 m s hodinovým výkonem 40 m čerstvého betonu se nachází v Libereckém kraji. Je vybavena zařízením pro ohřev záměsové vody a má celoroční automatický, počítačem řízený provoz. Nabízíme špičkovou kvalitu anhydritových litých potěrů Anhylevel, Anhylevel Heat, Anhylevel Extranivel, cementových litých potěrů CemLevel, konstrukčních betonů, samozhutnitelných betonů Compacton, drátkobetonů, vláknobetonů a písku či štěrku. Dále nabízíme autodopravu mixem, pumpování a čerpání betonu. Naše betonárna dodá kvalitní čertvý beton například pro zákazníky z Liberce, Jablonce nad Nisou, Janova nad Nisou, Bedřichova,Jeřmanic, Hamrštejna či Chrastavy. Cemex také dbá na udržitlenost portfoliem produktů Vertua.",Concrete,-,,-,,-,-,Liberecký kraj,FALSE
